tid,track,track_url,release_date,duration_ms,explicit,track_popularity,markets,albid,album,album_type,artid,artist,genres,artist_popularity,danceability,instrumentalness,speechiness,valence,loudness,added_at,lyrics
1SlqJxitLASHinl3X0Mvkn,Soapy,https://open.spotify.com/track/1SlqJxitLASHinl3X0Mvkn,2019-06-28,174043,False,49,185,1v9gHXqfKMRyEb1i64KJW3,Soapy,single,5DfaMudUwkoz6TAPYifqkJ,Naira Marley,"['afrobeats', 'afroswing', 'nigerian pop']",56,0.899,0.00991,0.244,0.676,-4.816,2024-08-25,"['Ote sele bo\xa0', 'Yahoo ni babalawo', 'Ole ni everybody\xa0', 'Eni ile moba sani barawo', 'Ote sele bo\xa0', 'Yahoo ni babalawo', 'Ole ni everybody\xa0', 'Eni ile moba sani barawo', 'Ofe se ika fun mi', 'Mi ologun mo ni Quran', 'Mon de se adura mi', 'Bi nse se adura mi', 'Allah ngba adura mi', 'Ati lo atide', 'Eni ori yo odile', 'Eniba lo lo bade', 'Igba tin gba da de', 'Se na de mi ni ade', 'Kade kope lori', 'Ki bata ko pelese', 'Ki awon ota mi kan lese', 'Ki awon ota mi kan lese', '\xa0', 'Inside Life, loti ri 5 Alive', 'Inside life, loti ri Deeper life', 'Inside life, awon kan je iya', 'Awon nkan chop life', 'Inside life,', 'Awon kan shepe', 'Awon kan je ewa', 'Jo soapy (Soapy)', 'Kiri kiri njo soapy(kiri kiri njo soapy)', 'Jo soapy (Soapy)', 'Ikoyi prison njo soapy', 'Jo soapy (Soapy)', 'Ninu cell efcc won njo soapy', 'Jo soapy (Soapy)', 'To ba ni iyawo nle ko jo soapy', 'Soapy (Soapy, Soapy)', 'Brother yi njo soapy', 'Jo soapy (Soapy)', 'Abi eyin na soapy', 'Jo soapy (Soapy)', 'Single father njo soapy', 'Jo soapy (Soapy)', 'Malo lo OMO to ba lon soapy(Soapy)', 'Se oda owo mo', 'Owa sope omo Naira', 'Owu wo lowo iwo sa se si Naira', 'Aja fe dena de ekun', 'Kekere ekun o ma nse egbe aja', 'Wonbe ni mafo awon na ofe wahala', 'I just want make mama proud', 'They want to make mama cry', 'Mama you aint gonna cry no more', 'Teba sukun gan oma esukun ayo', 'Eba jo keba yo\xa0', 'Gbe oro mi ja si ayo', 'Inside life Inside life\xa0', 'I do what I want coz its my life(Kuonbe)\xa0', '\xa0', 'Inside Life, loti ri 5 Alive', 'Inside life, loti ri Deeper life', 'Inside life, awon kan je iya', 'Awon nkan chop life', 'Inside life,', 'Awon kan shepe', 'Awon kan je ewa', 'Jo soapy (Soapy)', 'Kiri kiri njo soapy(kiri kiri njo soapy)', 'Jo soapy (Soapy)', 'Ikoyi prison njo soapy', 'Jo soapy (Soapy)', 'Ninu cell efcc won njo soapy', 'Jo soapy (Soapy)', 'To ba ni iyawo nle ko jo soapy', 'Soapy (Soapy, Soapy)', 'Brother yi njo soapy', 'Jo soapy (Soapy)', 'Abi eyin na soapy', 'Jo soapy (Soapy)', 'Single father njo soapy', 'Jo soapy (Soapy)', 'Malo lo OMO to ba lon soapy(Soapy)']"
60qIa2znv2BICoDyJS8rNv,TECHNICIAN (feat. Blaqbonez & Lekaa Beats),https://open.spotify.com/track/60qIa2znv2BICoDyJS8rNv,2024-04-19,156428,True,58,183,7ChVqPO3roVcHSLi32PnIK,TECHNICIAN,single,3LOm0AZjpwVQebvkyanjDy,ODUMODUBLVCK,"['afro drill', 'afrobeats', 'nigerian pop']",68,0.796,2.99e-06,0.15,0.585,-8.539,2024-08-25,"['[ODUMODUBLVCK]', 'Lekaa, Lekaa from London', 'E dey catch am abi?', 'Na so, na so, na so (Oh)', 'Black sheep forever, black sheep for life', ""Izgaaju 'til we kpeme, Antiworld gangsters"", ""G.E Records, you get me? Odumodublvck (We're coming, we're coming, prra)"", 'NATIVE, yeah, ah (Ayy, ayy)', 'Lekaa Beats', '[ODUMODUBLVCK]', 'Technician, my tester, look at how I control her', 'She dey find me, make I knack am, put her on my vibration (Vibration)', ""Technician, my tester, look at how I permutate am, oh (Modu, I think you're a pimp oh)"", 'She dey find me, make I knack am, put her on my vibration (Can you put ???)', '[ODUMODUBLVCK & Blaqbonez]', 'So I go give am all, if she no dey stubborn', 'Blaqie where you go? (Where?)', 'Modu why you go do me long jump?', 'Odogwu no dey lie oh', 'Baby, when I tell you I am busy comport', 'Listen to my vibration (Uh-huh)', 'Shawty kpompi (Prra), put it to a complete stop (Ah)', '[Blaqbonez & ODUMODUBLVCK]', 'Hey', 'I been dey sing every day for ghetto', 'All my mates them dey study for NECO', 'I get a girl wey dey hi my hello', 'She no dey sing, but she get falsetto', 'Na the one wey I no fit let go (Woah, yeah)', ""She dey tell when l'm on ogogoro (Prra)"", '[ODUMODUBLVCK]', 'Teezee, agbero go carry overload (Yes)', 'Odumodu, na me be her coach (Play)', 'Squander am, see my audacity choke (Spend)', 'Omo she mount inside my post', 'Nothing dey for me to scope (Block)', 'Mad marking, Makélélé on a low', '[Blaqbonez]', ""Huh, KDB, I'm crazy"", 'Shoot from out to box, no safety', 'I flow so marvellous, no benjie', ""VVS's, ice on me, Makaveli"", '[ODUMODUBLVCK & Blaqbonez]', 'How many times did I run from pum-pum?', 'How many times I ja? (Ja, on your feet)', 'So many times that I dive in mm-mm', ""Fuck it up on high ginger ('Ger)"", 'And if these keles wanna roll, Lekaa', 'Shebi, we go smoke ganja? (Ah)', 'Keles wanna snort (Ahh)', 'Shebi them go bring coca? (Yeah)', '[Blaqbonez & ODUMDOBLVCK]', 'Technician, my tester, look at how I control her (Mandingo)', 'She dey find me, make I knack am, put her on my vibration (Omo, with your jumbo)', 'Technician, my tester, look at how I permutate am, oh (Blaqie, they say I dey pimp oh)', 'She dey find me, make I knack am, put her on my vibration', '[ODUMODUBLVCK]', 'I-I-I-I-I, I go give am all, if she no dey stubborn', 'Blackie where you go? (Where?)', 'Modu why you go do me long jump?', 'Odogwu no dey lie oh', 'Baby, when I tell you I am busy comport', 'Listen to my vibration', 'Shawty kpompi (Prra), put it to a complete stop', '[Blaqbonez & ODUMODUBLVCK]', 'I been dey sing everyday for ghetto (Every day for ghetto)', 'I get a girl wey dey hi my hello (Hi my hello)', 'Hi my hello', 'Hi my hello', 'Hi my hello']"
7yKjDDd9w01nFEOD5adoHq,Do I - Remix,https://open.spotify.com/track/7yKjDDd9w01nFEOD5adoHq,2023-12-19,138069,True,60,185,5aVA4avxVgyg1S6iVQpx0m,Do I (Remix),single,6acbdy69rtlv8m9EW31MYl,Phyno,"['afrobeats', 'afropop', 'igbo pop', 'igbo rap', 'nigerian hip hop', 'nigerian pop']",56,0.847,0.000175,0.106,0.726,-7.042,2024-08-25,"['[Burna Boy]', 'Yeah', 'Oh yeah, yeah, yeah, yeah, yeah', '[Burna Boy]', 'Yeah, touch down oso ga eme', ""They know that I'm not one of them"", 'Odogwu looking like a million bucks', 'Clean like a religious song', 'Alhamdulilah, in God I trust', 'Heard them for the street dem dey corner talk', 'No be chyce na kolanut', 'Me I no dey gree like Donald Trump', 'Makinde', 'Solo makinde', 'General solo makinde', 'Different style we dey use slap them face', 'U know my style na follow come', 'And I no go lie I dey kolo small', 'And you talk, say I no show love', 'Do I look like I give a fuck?', '[Phyno & Burna Boy]', 'Do I?', 'Do I look like I give a fuck?', 'Do I?', 'Do I look like I give a fuck?', ""I don't give a shot obata osu"", 'Do I look like I give a fuck?', 'Do I?', 'Do I look like I give a fuck?', 'Do I?', 'Do I look like I give a fuck?', ""I don't give a shot obata osu"", 'Do I look like I give a fuck?', '[Phyno]', 'Lifestyle, aba na anya', 'Ofulu the bag obewe Akwa', 'I give am chance otinye aru', 'Afulum shege fa melum iwa', 'OG ga ekpu gi ula', 'Igbahalicha iga aza the ugba', 'Mgbe ojim na njo okwa isim una', 'Imana nam aburo onye okwu na uka', 'Say dem no dey gree ma ha fulum da', 'And e no be beans mana erichamia', 'Las las onu ga ekwu', 'And I no dey see you Adim ocha', ""Asa what's the plan uche gi adia"", 'Osim way ga cholu ogbo I', 'O ife ka anyi gana ako', 'Do I look like I give a fuck?', '[Phyno & Burna Boy]', 'Do I?', 'Do I look like I give a fuck?', 'Do I?', 'Do I look like I give a fuck?', ""I don't give a shot obata osu"", 'Do I look like I give a fuck?', 'Do I?', 'Do I look like I give a fuck?', 'Do I?', 'Do I look like I give a fuck?', ""I don't give a shot obata osu"", 'Do I look like I give a fuck?']"
4MpGucC81oXQbYriasaD0Y,Up Up,https://open.spotify.com/track/4MpGucC81oXQbYriasaD0Y,2023-01-20,90303,True,46,185,38UC212PtRGrhPg1eGwxsY,Game Not Over,album,4UEd35ednarHmXoGK3DoMx,DaBlixx Osha,['nigerian hip hop'],42,0.551,0.0,0.0992,0.384,-12.18,2024-08-25,
7B1VbibAlxiMdpxF4lsW7Z,Your Number,https://open.spotify.com/track/7B1VbibAlxiMdpxF4lsW7Z,2019-11-29,184615,False,30,185,3TpgWHRadusmBFewnPt8dG,Your Number,single,7BIkk865pwBrSZetA8Izic,Juls,"['afrobeats', 'afroswing', 'uk dancehall']",53,0.743,0.0,0.0693,0.792,-8.997,2024-08-25,
3Z19t8pNaAHqlLmz2LuwNa,Best Of Me,https://open.spotify.com/track/3Z19t8pNaAHqlLmz2LuwNa,2023-10-04,231151,False,52,185,3dctFKCiGPizmylLp0SN0a,"Sincerely, Benson",album,3zaDigUwjHvjOkSn0NDf9x,Bnxn,"['afrobeats', 'nigerian pop']",69,0.741,5.81e-06,0.145,0.496,-7.327,2024-08-25,"[""Couldn't get the best of me"", ""Ko ma dẹ s'ẹlomi"", 'See Jah Jah open up the heaven for me', 'And put hands on me', ""Something ordinary eyes can't see"", 'Infront of all my enemies', 'See Jah Jah put a table there for me', 'And put his hands on me', 'You thought you coulda get the best of me', ""Ko ma dẹ s'ẹlomi"", 'See Jah Jah open up the heavens for me', 'And put hands on me', ""Something ordinary eyes can't see"", 'Infront of all my enemies', 'See Jah Jah open up a table for me', 'And put his hands on me', 'Something bout the weather that I thought note', ""Lately it's been raining cats and dogs on the goat"", 'Just incase they talking bout pen game', ""They don't say my name I don't like the sound of the joke"", 'Looking at the drip you fit to know say e choke', 'And these girls wan dey follow me go', 'If you no know, how you go know?', ""You don't have the slightest idea"", 'I say take me where dem dey play some rhythm and blues', 'Somewhere I can jiggy bop inna my shoes', ""Lighting my Jay and drinking my juice, that's how I do"", 'Take me where dem dey play some rhythm and blues', 'Somewhere I can jiggy bop inna my shoes', 'Lighting my Jay and drinking my juice, jaye mi times two', ""Couldn't get the best of me"", ""Ko ma dẹ s'ẹlomi"", 'See Jah Jah open up the heavens for me', 'And put hands on me', ""Something ordinary eyes can't see"", 'Infront of all my enemies', 'See Jah Jah put a table there for me', 'And put his hands on me', 'You thought you coulda get the best of me', ""Ko ma dẹ s'ẹlomi"", 'See Jah Jah open up the heavens for me', 'And put hands on me', ""Something ordinary eyes can't see"", 'Infront of all my enemies', 'See Jah Jah put a table there for me', 'And put his hands on me', ""I'm in the spot like oh my Jesus would these niggas just free us?"", ""We've been on the road since morning brother I'm yawning, would you just leave us?"", ""Mehn I've been on the road since way before Kanye west said he was Yeezus"", 'See ladies and gentlemen this is evident diamonds dancing on pieces, chee', 'I say take me where dem dey play some rhythm and blues', 'Somewhere I can jiggy bop inna my shoes', ""Lighting my Jay and drinking my juice, that's how I do"", 'Say take me where dem dey play some rhythm and blues', 'Somewhere I can jiggy bop inna my shoes', 'Lighting my Jay and drinking my juice, jaye mi times two', ""Couldn't get the best of me"", ""Ko ma dẹ s'ẹlomi"", 'See Jah Jah open up the heavens for me', 'And put hands on me', ""Something ordinary eyes can't see"", 'Infront of all my enemy', 'See Jah Jah put a table there for me', 'And put his hands on me', 'You thought you coulda get the best of me', ""Ko ma dẹ s'ẹlomi"", 'See Jah Jah open up the heavens for me', 'And put hands on me', ""Something ordinary eyes can't see"", 'Infront of all my enemies', 'See Jah Jah put a table there for me', 'And put his hands on me']"
6brl7bwOHmGFkNw3MBqssT,So Sick,https://open.spotify.com/track/6brl7bwOHmGFkNw3MBqssT,2006-01-01,207186,False,78,177,6gkwOLmk0ALMOjWs5WhAEr,In My Own Words,album,21E3waRsmPlU7jZsS13rcj,Ne-Yo,"['dance pop', 'pop', 'r&b', 'urban contemporary']",81,0.452,0.0,0.311,0.578,-8.336,2024-08-25,"['Mmmm mmm yeah', 'Do do do do do do do-do', 'Ohh Yeah', 'Gotta change my answering machine', ""Now that I'm alone"", 'Cause right now it says that we', ""Can't come to the phone"", 'And I know it makes no sense', 'Cause you walked out the door', ""But it's the only way I hear your voice anymore"", ""(it's ridiculous)"", ""It's been months"", 'And for some reason I just', ""(can't get over us)"", ""And I'm stronger than this"", '(enough is enough)', 'No more walking round', 'With my head down', ""I'm so over being blue"", 'Crying over you', ""And I'm so sick of love songs"", 'So tired of tears', 'So done with wishing you were still here', ""Said I'm so sick of love songs so sad and slow"", ""So why can't I turn off the radio?"", 'Gotta fix that calendar I have', ""That's marked July 15th"", ""Because since there's no more you"", ""There's no more anniversary"", ""I'm so fed up with my thoughts of you"", 'And your memory', 'And how every song reminds me', 'Of what used to be', ""That's the reason I'm so sick of love songs"", 'So tired of tears', 'So done with wishing you were still here', ""Said I'm so sick of love songs so sad and slow"", ""So why can't I turn off the radio?"", '(Leave me alone)', 'Leave me alone', '(Stupid love songs)', ""Don't make me think about her smile"", 'Or having my first child', ""I'm letting go"", 'Turning off the radio', ""Cause I'm so sick of love songs"", 'So tired of tears', 'So done with wishing she was still here', ""Said I'm so sick of love songs so sad and slow"", ""So why can't I turn off the radio?"", ""(why can't I turn off the radio?)"", ""Said I'm so sick of love songs"", 'So tired of tears', 'So done with wishing she was still here', ""Said I'm so sick of love songs so sad and slow"", ""So why can't I turn off the radio?"", ""(why can't I turn off the radio?)"", ""And I'm so sick of love songs"", 'So tired of tears', ""So done with wishin' you were still here"", ""Said I'm so sick of love songs so sad and slow"", ""Why can't I turn off the radio?"", ""(why can't I turn off the radio?)"", ""Why can't I turn off the radio?""]"
4xPlMmtY9OD2wbvaK11FjO,Play (feat. Fave),https://open.spotify.com/track/4xPlMmtY9OD2wbvaK11FjO,2022-11-18,164571,False,40,185,1bzj6N5AlG4yQwcGVltCxn,El Major,album,1FIsnQiSPsuqA38z48irJC,T.I BLAZE,"['afrobeats', 'nigerian pop']",48,0.587,2.2e-06,0.227,0.603,-5.792,2024-08-25,
4Xik88j0lef96PqxYFR66a,Trending,https://open.spotify.com/track/4Xik88j0lef96PqxYFR66a,2024-05-27,154689,False,52,185,3z5ScTzthtKvfOzxc2XBE0,Muyeez (Deluxe),single,58JKLeDfIeeOYujvF1UMQS,Muyeez,['viral afropop'],56,0.826,0.000273,0.0593,0.395,-8.536,2024-08-25,
4g52MWu8RhJYIkM9NdLvUN,Giddem,https://open.spotify.com/track/4g52MWu8RhJYIkM9NdLvUN,2024-06-21,178000,False,60,185,6gcDQQWUvBBKFAwrJrIRGH,Giddem,single,5DfaMudUwkoz6TAPYifqkJ,Naira Marley,"['afrobeats', 'afroswing', 'nigerian pop']",56,0.822,0.001,0.0932,0.593,-6.489,2024-08-25,
